Priority Level,Name,Time,Categories
High,鎌倉 | 鎌倉站,"February 20, 2025 8:00 (GMT+8) → 10:00",景點
High,鎌倉 |鶴岡八幡宮,"February 20, 2025 10:00 (GMT+8) → 11:00",神社
High,錢洗辨財天·宇賀福神社,"February 20, 2025 11:30 (GMT+8) → 12:45",神社
High,咖啡店｜古我邸（コガテイ）Cafe,"February 20, 2025 13:00 (GMT+8) → 13:45",咖啡
High,鎌倉 | 江之島,"February 20, 2025 14:00 (GMT+8) → 14:30",景點
High,鎌倉 | 鎌倉高校前站 灌籃高手平交道,"February 20, 2025 15:00 (GMT+8) → 16:00",景點
High,江之島·辨財天商店街,"February 20, 2025 16:00 (GMT+8) → 17:00","逛街, 隨便走走"
High,江之島·海蠟燭展望燈塔,"February 20, 2025 17:00 (GMT+8) → 18:00",景點
High,晚餐｜海鮮丼 とびっちょ 本店,"February 20, 2025 18:00 (GMT+8) → 19:00",吃飯
Mid,鎌倉 |炸豬排店：あら珠（鐮倉）,"February 20, 2025 11:00 (GMT+8) → 11:30",吃飯
Mid,"鎌倉 |燕カフェhttps://www.threads.net/@tsubamecafe_kamakura?xmt=AQGzXNjNC4KyYrUsRpyQuqQbNFltEjZgF-o8T6o0k7oWVy0 ","February 20, 2025 11:00 (GMT+8) → 11:30","咖啡, 食物"
Low,Sasuke cafe (上去神社前經過),"February 20, 2025 11:30 (GMT+8) → 12:45",甜品
High,回程,"February 20, 2025 19:45 (GMT+8) → 23:00",回程
High,回程,"February 19, 2025 21:00 (GMT+8) → 23:00",回程
High,三軒茶屋  |「三軒茶屋散步」,"February 19, 2025 8:00 (GMT+8) → 10:00",隨便走走
High,三軒茶屋  | Obscura Laboratory 飲咖啡,"February 19, 2025 10:00 (GMT+8) → 11:00",咖啡
High,三軒茶屋  | Truffle Bakery 麵包店,"February 19, 2025 11:00 (GMT+8) → 11:30",麵包
High,三軒茶屋 - 田谷區  |『Gorilla Building』屋頂上的大金剛,"February 19, 2025 12:00 (GMT+8) → 13:00",逛街
High,三軒茶屋  | Almond Pastry 甜品店,"February 19, 2025 13:00 (GMT+8) → 13:30","甜品, 食物"
High,三軒茶屋  | Nukumuku,"February 19, 2025 13:30 (GMT+8) → 14:00",食物
High,宮之板 - 豪德寺 | 豪德寺,"February 19, 2025 14:00 (GMT+8) → 16:00","參拜, 寺廟, 神社"
High,宮之板 - 豪德寺 | RARASAND ララサンド,"February 19, 2025 16:00 (GMT+8) → 16:30",逛街
High,下北澤 ｜ Cosmos(咖哩) 下北澤,"February 19, 2025 17:00 (GMT+8) → 18:00",食物
High,下北澤 | Kalpasi,"February 19, 2025 18:00 (GMT+8) → 19:00","食物, 飲料"
High,三軒茶屋 | Carrot Tower,"February 19, 2025 19:00 (GMT+8) → 19:30",觀賞
High,三軒茶屋 |  Moon factory,"February 19, 2025 20:00 (GMT+8) → 21:00",咖啡
High,香港 → 日本,"February 17, 2025 6:00 (GMT+8) → 16:00",出發
High,自由行,"February 17, 2025 19:00 (GMT+8) → 23:00",逛街
High,上野 | 名代宇奈とと鰻魚飯,"February 17, 2025 18:00 (GMT+8) → 19:00",食物
High,飯店CheckIn,"February 17, 2025 16:00 (GMT+8) → 18:00",飯店
High,淺草 | 淺草 - 淺草寺,"February 18, 2025 8:00 (GMT+8) → 10:00",景點
High,淺草 | 晴空塔 Sky tree,"February 18, 2025 10:00 (GMT+8) → 12:00",景點
High,原宿 | 表參道,"February 18, 2025 14:00 (GMT+8) → 16:00",逛街
